business_name,category,description,keyvals,product_link,product_name,regular_price,sale_price
tls,wine,,"{""What You Will Get:"": ""1 bottle of Johnnie Walker\u00a0Ultimate 18 Years Old"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended Scotch Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/johnnie-walker-ultimate-18-years-old-75cl,Johnnie Walker Ultimate 18 Years Old 75cl,[89.99],[145.8]
tls,wine,,"{""Distillery"": ""Mortlach"", ""Classification"": ""Single Malt Whisky"", ""Bottle\u00a0No./Released"": ""-/-"", ""Vintage"": ""-"", ""Age"": ""12"", ""Bottler"": ""Official Bottling"", ""Bottling Date"": ""-"", ""ABV/ Volume"": ""43.4%/ 75cl"", ""Rating/SGP"": ""-/-"", ""Cask Number"": ""-""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/mortlach-12-years-old,Mortlach 12 Years Old,[122.0],[138.0]
tls,wine,,,https://www.theliquorshop.com.sg/collections/whisky-singapore/products/macallan-18-year-old-sherry-oak-2019-annual-release,Macallan 18 Year Old Sherry Oak 2019 Annual Release,[499.0],[598.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Johnnie Walker\u00a0Explorers Club Collection The\u00a0Gold Route"", ""Volume:"": ""1000ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/johnnie-walker-explorers-club-collection-the-gold-route-1l,Johnnie Walker Explorers Club Collection The Gold Route 1L,[180.0],[198.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Ridgemont Reserve 1792 Small Batch Bourbon Whisky"", ""Volumn:"": ""750ml"", ""Alcohol Percentage:"": ""46.85%"", ""Type:"": ""Bourbon Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/ridgemont-reserve-1792-small-batch-kentucky-straight-bourbon-whiskey,Ridgemont Reserve 1792 Small Batch Kentucky Straight Bourbon Whiskey 75cl,[113.77],[124.0]
tls,wine,"A bottle of 12-year-old Old Parr whisky, named after the famous Thomas Parr, who was claimed to have lived to the age of 152.","{""Volume"": ""75cl"", ""ABV"": ""40%"", ""Type"": ""Single Malt Scotch Whisky"", ""Age"": ""12"", ""With Box"": ""No""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/grand-old-parr-12-years-old-blended-scotch-whisky,Grand Old Parr 12 Years Old Blended Scotch Whisky,[120.0],[120.0]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Glen Moray 12 Years Old"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Single Malt Whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/glen-moray-12-years-old-70cl,Glen Moray 12 Years Old 70cl,[99.0],[128.0]
tls,wine,,"{""What You Will Get:"": ""1 Bottle of\u00a0Dewar's White Label Scotch Whisky"", ""Volume:"": ""1000ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/dewars-white-label-scotch-whisky-1l,Dewar's White Label Scotch Whisky 1L,[68.0],[89.0]
tls,wine,,"{""What You Will Get:"": ""1 Bottle of Famous Grouse Scotch Whisky"", ""Volume:"": ""1000ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended whisky""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/famous-grouse-scotch-whisky-1l,Famous Grouse Scotch Whisky 1L,[57.0],[84.8]
tls,wine,,"{""What You Will Get:"": ""1 bottle of Suntory Kakubin Yellow Label"", ""Volume:"": ""700ml"", ""Alcohol Percentage:"": ""40%"", ""Type:"": ""Blended Whisky\u00a0(Japanese whisky)""}",https://www.theliquorshop.com.sg/collections/whisky-singapore/products/suntory-kakubin-yellow-label-japanese-whisky,Suntory Kakubin Yellow Label Japanese Whisky,[68.8],[120.0]
